,number,value,datetime_start,datetime_complete,duration,params_attention heads,params_hidden layers,params_lr,state
0,0,0.495176849,57:22.5,00:37.5,0 days 00:03:15.053407,16,10,2.55E-05,COMPLETE
1,1,0.532871972,00:37.5,07:07.2,0 days 00:06:29.631551,12,10,3.91E-05,COMPLETE
2,2,0.523659306,07:07.2,13:33.4,0 days 00:06:26.241913,16,10,4.24E-05,COMPLETE
3,3,0.421545667,13:33.5,17:17.1,0 days 00:03:43.627645,16,10,6.79E-05,COMPLETE
4,4,0.544927536,17:17.1,20:28.0,0 days 00:03:10.921357,12,10,2.07E-05,COMPLETE
5,5,0.5,20:28.0,25:29.8,0 days 00:05:01.761563,16,9,1.24E-05,COMPLETE
6,6,0.510638298,25:29.8,32:27.7,0 days 00:06:57.876399,16,10,4.04E-05,COMPLETE
7,7,0.536231884,32:27.7,38:51.3,0 days 00:06:23.551310,16,9,5.03E-05,COMPLETE
8,8,0.594202899,38:51.3,46:06.0,0 days 00:07:14.742522,12,11,3.15E-05,COMPLETE
9,9,0.540229885,46:06.0,49:13.6,0 days 00:03:07.595169,12,10,3.95E-05,COMPLETE
10,10,0.548494983,49:13.6,52:54.0,0 days 00:03:40.388627,12,12,2.45E-05,COMPLETE
11,11,0.556776557,52:54.0,00:49.0,0 days 00:07:54.983976,12,12,2.63E-05,COMPLETE
12,12,0.577181208,00:49.0,08:36.3,0 days 00:07:47.241766,12,12,2.97E-05,COMPLETE
13,13,0.573529412,08:36.3,15:57.2,0 days 00:07:20.927582,12,11,3.27E-05,COMPLETE
14,14,0.562962963,15:57.2,20:44.8,0 days 00:04:47.615945,12,11,1.08E-05,COMPLETE
15,15,0.596923077,20:44.8,28:33.1,0 days 00:07:48.277365,12,12,3.27E-05,COMPLETE
16,16,0.571428571,28:33.1,34:15.9,0 days 00:05:42.809239,12,11,1.76E-05,COMPLETE
17,17,0.577259475,34:15.9,40:27.7,0 days 00:06:11.821285,12,12,3.28E-05,COMPLETE
18,18,0.594771242,40:27.8,47:46.0,0 days 00:07:18.270916,12,11,1.86E-05,COMPLETE
19,19,0.588628763,47:46.0,53:57.3,0 days 00:06:11.253280,12,12,1.71E-05,COMPLETE
20,20,0.578616352,53:57.3,01:13.3,0 days 00:07:16.036202,12,11,2.05E-05,COMPLETE
21,21,0.587412587,01:13.3,08:29.5,0 days 00:07:16.159162,12,11,2.98E-05,COMPLETE
22,22,0.582352941,08:29.5,14:13.5,0 days 00:05:44.007914,12,11,1.44E-05,COMPLETE
23,23,0.597315436,14:13.5,22:06.1,0 days 00:07:52.562062,12,12,2.23E-05,COMPLETE
24,24,0.574257426,22:06.1,28:22.4,0 days 00:06:16.292664,12,12,2.12E-05,COMPLETE
25,25,0.588607595,28:22.4,36:19.9,0 days 00:07:57.477340,12,12,1.58E-05,COMPLETE
26,26,0.544973545,36:19.9,39:59.3,0 days 00:03:39.456054,12,12,1.18E-05,COMPLETE
27,27,0.555183946,39:59.7,43:40.8,0 days 00:03:41.132781,12,12,2.25E-05,COMPLETE
28,29,0.555932203,49:26.1,57:24.8,0 days 00:07:58.660765,16,12,2.55E-05,COMPLETE
